,statistischer_Bezirk_Name,statistischer_Bezirk_Nr,Stichtag,Indikator,Einheit,Wert
0,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,111110
1,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,53321
2,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,57789
3,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,108034
4,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,3076
5,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,14890
6,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,37748
7,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,22104
8,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,20217
9,Jena (gesamt),0,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,16151
10,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,449
11,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,240
12,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,209
13,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,449
14,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,0
15,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,71
16,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,99
17,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,116
18,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,97
19,Ammerbach Ort,11,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,66
20,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,2421
21,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,1155
22,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,1266
23,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,2402
24,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,19
25,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,330
26,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,631
27,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,537
28,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,445
29,Beutenberg / Winzerlaer Straße,12,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,478
30,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,424
31,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,208
32,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,216
33,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,422
34,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,0
35,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,59
36,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,137
37,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,90
38,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,78
39,Burgau Ort,21,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,60
40,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,895
41,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,451
42,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,444
43,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,893
44,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,0
45,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,125
46,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,184
47,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,189
48,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,229
49,Ringwiese Flur Burgau,22,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,168
50,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,646
51,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,326
52,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,320
53,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,639
54,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,7
55,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,97
56,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,168
57,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,162
58,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,123
59,Göschwitz,30,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,96
60,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,4583
61,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,2280
62,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,2303
63,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,4372
64,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,211
65,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,474
66,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,2430
67,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,800
68,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,404
69,Jena-Zentrum,41,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,475
70,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,9243
71,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,4489
72,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,4754
73,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,8991
74,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,252
75,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1387
76,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,4078
77,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1839
78,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1079
79,Jena-West,42,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,860
80,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,10543
81,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,5006
82,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,5537
83,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,10296
84,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,247
85,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1160
86,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,4106
87,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1908
88,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1500
89,Jena-Nord,43,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,1869
90,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung (HW und NW) insgesamt,Pers.,8116
91,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung männlich,Pers.,4030
92,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung weiblich,Pers.,4086
93,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung - Deutsche,Pers.,7549
94,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung - Ausländer,Pers.,567
95,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung 0 bis unter 18 Jahre,Pers.,1062
96,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung 18 bis unter 35 Jahre,Pers.,3517
97,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung 35 bis unter 50 Jahre,Pers.,1505
98,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung 50 bis unter 65 Jahre,Pers.,1051
99,Jena-Süd,44,2002-12-31,Wohnberechtigte Bevölkerung 65 Jahre und darüber,Pers.,981
