state,abbreviation,area (sq. mi),state/region,ages,year,population
Alabama,AL,52423.0,AL,under18,2012,1117489
Alabama,AL,52423.0,AL,total,2012,4817528
Alabama,AL,52423.0,AL,under18,2010,1130966
Alabama,AL,52423.0,AL,total,2010,4785570
Alabama,AL,52423.0,AL,under18,2011,1125763
Alabama,AL,52423.0,AL,total,2011,4801627
Alabama,AL,52423.0,AL,total,2009,4757938
Alabama,AL,52423.0,AL,under18,2009,1134192
Alabama,AL,52423.0,AL,under18,2013,1111481
Alabama,AL,52423.0,AL,total,2013,4833722
Alabama,AL,52423.0,AL,total,2007,4672840
Alabama,AL,52423.0,AL,under18,2007,1132296
Alabama,AL,52423.0,AL,total,2008,4718206
Alabama,AL,52423.0,AL,under18,2008,1134927
Alabama,AL,52423.0,AL,total,2005,4569805
Alabama,AL,52423.0,AL,under18,2005,1117229
Alabama,AL,52423.0,AL,total,2006,4628981
Alabama,AL,52423.0,AL,under18,2006,1126798
Alabama,AL,52423.0,AL,total,2004,4530729
Alabama,AL,52423.0,AL,under18,2004,1113662
Alabama,AL,52423.0,AL,total,2003,4503491
Alabama,AL,52423.0,AL,under18,2003,1113083
Alabama,AL,52423.0,AL,total,2001,4467634
Alabama,AL,52423.0,AL,under18,2001,1120409
Alabama,AL,52423.0,AL,total,2002,4480089
Alabama,AL,52423.0,AL,under18,2002,1116590
Alabama,AL,52423.0,AL,under18,1999,1121287
Alabama,AL,52423.0,AL,total,1999,4430141
Alabama,AL,52423.0,AL,total,2000,4452173
Alabama,AL,52423.0,AL,under18,2000,1122273
Alabama,AL,52423.0,AL,total,1998,4404701
Alabama,AL,52423.0,AL,under18,1998,1118252
Alabama,AL,52423.0,AL,under18,1997,1122893
Alabama,AL,52423.0,AL,total,1997,4367935
Alabama,AL,52423.0,AL,total,1996,4331103
Alabama,AL,52423.0,AL,total,1995,4296800
Alabama,AL,52423.0,AL,under18,1995,1110553
Alabama,AL,52423.0,AL,under18,1996,1112092
Alabama,AL,52423.0,AL,total,1994,4260229
Alabama,AL,52423.0,AL,total,1993,4214202
Alabama,AL,52423.0,AL,under18,1993,1085606
Alabama,AL,52423.0,AL,under18,1994,1097180
Alabama,AL,52423.0,AL,under18,1992,1072873
Alabama,AL,52423.0,AL,total,1992,4154014
Alabama,AL,52423.0,AL,total,1991,4099156
Alabama,AL,52423.0,AL,under18,1991,1060794
Alabama,AL,52423.0,AL,under18,1990,1050041
Alabama,AL,52423.0,AL,total,1990,4050055
Alaska,AK,656425.0,AK,total,1990,553290
Alaska,AK,656425.0,AK,under18,1990,177502
Alaska,AK,656425.0,AK,total,1992,588736
Alaska,AK,656425.0,AK,under18,1991,182180
Alaska,AK,656425.0,AK,under18,1992,184878
Alaska,AK,656425.0,AK,total,1994,603308
Alaska,AK,656425.0,AK,under18,1994,187439
Alaska,AK,656425.0,AK,total,1991,570193
Alaska,AK,656425.0,AK,total,1993,599434
Alaska,AK,656425.0,AK,under18,1993,187190
Alaska,AK,656425.0,AK,total,1995,604412
Alaska,AK,656425.0,AK,under18,1995,184990
Alaska,AK,656425.0,AK,total,1996,608569
Alaska,AK,656425.0,AK,under18,1996,185360
Alaska,AK,656425.0,AK,under18,1997,188280
Alaska,AK,656425.0,AK,under18,1998,192636
Alaska,AK,656425.0,AK,total,1998,619933
Alaska,AK,656425.0,AK,total,1997,612968
Alaska,AK,656425.0,AK,under18,1999,191422
Alaska,AK,656425.0,AK,total,1999,624779
Alaska,AK,656425.0,AK,total,2000,627963
Alaska,AK,656425.0,AK,under18,2000,190615
Alaska,AK,656425.0,AK,total,2001,633714
Alaska,AK,656425.0,AK,under18,2001,188771
Alaska,AK,656425.0,AK,total,2002,642337
Alaska,AK,656425.0,AK,under18,2002,188482
Alaska,AK,656425.0,AK,total,2003,648414
Alaska,AK,656425.0,AK,under18,2003,186843
Alaska,AK,656425.0,AK,total,2004,659286
Alaska,AK,656425.0,AK,under18,2004,186335
Alaska,AK,656425.0,AK,total,2005,666946
Alaska,AK,656425.0,AK,under18,2005,185304
Alaska,AK,656425.0,AK,total,2006,675302
Alaska,AK,656425.0,AK,under18,2006,185580
Alaska,AK,656425.0,AK,total,2007,680300
Alaska,AK,656425.0,AK,under18,2007,184344
